,MKTDEPTH_EVENT_TYPE,MKTDEPTH_EVENT_SUBTYPE,ID_BB_SEC_NUM_SRC,FEED_SOURCE,EID,MD_TABLE_CMD_RT,MD_BOOK_TYPE,MBO_WINDOW_SIZE,MD_BOOK_SUBTYPE,MD_PRICE_DISPLAY_FORMAT_TYPE_RT,MD_PRICE_DISPLAY_MIN_NUM_DECIMALS_RT,MD_PRICE_DISPLAY_MAX_NUM_DECIMALS_RT,MD_CURRENCY_RT,MD_QUOTED_CURRENCY_REALTIME,MD_ROUND_LOT_SIZE_RT,cid,MBL_WINDOW_SIZE,MBO_SEQNUM_RT,MD_MULTI_TICK_UPD_RT,MBL_ASK_POSITION_RT,MBL_ASK_RT,MBL_ASK_COND_CODE_RT,MBL_ASK_NUM_ORDERS_RT,MBL_ASK_SIZE_RT,MBL_TIME_RT,MBO_ASK_POSITION_RT,MBO_ASK_RT,MBO_ASK_BROKER_RT,MBO_ASK_COND_CODE_RT,MBO_ASK_SIZE_RT,MBO_TIME_RT,MBO_BID_POSITION_RT,MBO_BID_RT,MBO_BID_BROKER_RT,MBO_BID_COND_CODE_RT,MBO_BID_SIZE_RT,MBL_BID_POSITION_RT,MBL_BID_RT,MBL_BID_COND_CODE_RT,MBL_BID_NUM_ORDERS_RT,MBL_BID_SIZE_RT,MBO_ORDER_ID_RT
114,MARKET_BY_ORDER,BID,,,14112,REPLACE,,,,,,,,,,970 HK Equity.type=TOP,,,,,,,,,,,,,,,2023-06-23 01:32:29,2.0,0.8299999833106995,3646,,0.0,,,,,,
115,MARKET_BY_ORDER,ASK,,,53714,ADD,,,,,,,,,,970 HK Equity.type=MBO,,36.0,,,,,,,,2.0,1.0500001907348633,,,10000.0,2023-06-23 01:51:04.460000,,,,,,,,,,,356434946
116,MARKET_BY_LEVEL,ASK,,,14112,REPLACE,,,,,,,,,,970 HK Equity.type=MBL,,,0.0,2.0,1.0500001907348633,,1.0,10000.0,2023-06-23 01:51:04.460000,,,,,,,,,,,,,,,,,
117,MARKET_BY_ORDER,ASK,,,14112,REPLACE,,,,,,,,,,970 HK Equity.type=TOP,,,,,,,,,,2.0,1.0500001907348633, 298,,0.0,2023-06-23 01:51:04,,,,,,,,,,,
118,MARKET_BY_ORDER,BID,,,53714,MOD,,,,,,,,,,970 HK Equity.type=MBO,,37.0,,,,,,,,,,,,,2023-06-23 01:51:07.344000,2.0,0.8299999833106995,,,2000.0,,,,,,73349634
119,MARKET_BY_LEVEL,BID,,,14112,REPLACE,,,,,,,,,,970 HK Equity.type=MBL,,,0.0,,,,,,2023-06-23 01:51:07.344000,,,,,,,,,,,,1.0,0.8299999833106995,,2.0,4000.0,
120,MARKET_BY_ORDER,ASK,,,53714,ADD,,,,,,,,,,970 HK Equity.type=MBO,,38.0,,,,,,,,3.0,1.1000003814697266,,,10000.0,2023-06-23 01:51:14.146000,,,,,,,,,,,358988034
121,MARKET_BY_ORDER,ASK,,,14112,REPLACE,,,,,,,,,,970 HK Equity.type=TOP,,,,,,,,,,3.0,1.1000003814697266, 298,,0.0,2023-06-23 01:51:14,,,,,,,,,,,
122,MARKET_BY_LEVEL,ASK,,,14112,REPLACE,,,,,,,,,,970 HK Equity.type=MBL,,,1.0,1.0,0.8700000047683716,,1.0,2000.0,2023-06-23 02:25:45.751000,,,,,,,,,,,,,,,,,
123,MARKET_BY_LEVEL,ASK,,,14112,REPLACE,,,,,,,,,,970 HK Equity.type=MBL,,,1.0,2.0,1.0,,1.0,10000.0,2023-06-23 02:25:45.751000,,,,,,,,,,,,,,,,,
124,MARKET_BY_LEVEL,ASK,,,14112,REPLACE,,,,,,,,,,970 HK Equity.type=MBL,,,0.0,3.0,1.0500001907348633,,1.0,10000.0,2023-06-23 02:25:45.751000,,,,,,,,,,,,,,,,,
125,MARKET_BY_LEVEL,ASK,,,14112,REPLACE,,,,,,,,,,970 HK Equity.type=MBL,,,1.0,2.0,1.0500001907348633,,1.0,10000.0,2023-06-23 02:25:45.751000,,,,,,,,,,,,,,,,,
126,MARKET_BY_LEVEL,ASK,,,14112,REPLACE_CLEAR,,,,,,,,,,970 HK Equity.type=MBL,,,0.0,3.0,0.0,,0.0,0.0,2023-06-23 02:25:45.751000,,,,,,,,,,,,,,,,,
127,MARKET_BY_LEVEL,ASK,,,14112,REPLACE_CLEAR,,,,,,,,,,970 HK Equity.type=MBL,,,0.0,2.0,0.0,,0.0,0.0,2023-06-23 02:25:45.751000,,,,,,,,,,,,,,,,,
128,MARKET_BY_ORDER,ASK,,,53714,ADD,,,,,,,,,,970 HK Equity.type=MBO,,39.0,,,,,,,,1.0,0.8700000047683716,,,2000.0,2023-06-23 02:25:45.751000,,,,,,,,,,,665012482
129,MARKET_BY_ORDER,BID,,,53714,DEL,,,,,,,,,,970 HK Equity.type=MBO,,40.0,,,,,,,,,,,,,2023-06-23 02:25:45.752000,2.0,0.8299999833106995,,,2000.0,,,,,,73349634
130,MARKET_BY_ORDER,ASK,,,14112,REPLACE,,,,,,,,,,970 HK Equity.type=TOP,,,,,,,,,,1.0,0.8700000047683716,2299,,0.0,2023-06-23 02:25:45,,,,,,,,,,,
