,Time,Stock_code,Market_type,Fragment_type,Market_subtype,MD_TABLE_CMD_RT,MBO_SEQNUM_RT,MBO_ORDER_ID_RT,MBO_ASK_POSITION_RT,MBO_ASK_RT,MBO_ASK_SIZE_RT,MBO_ASK_BROKER_RT,MBO_BID_POSITION_RT,MBO_BID_RT,MBO_BID_SIZE_RT,MBO_BID_BROKER_RT,MBO_TIME_RT,MBO_BID_COND_CODE_RT,MBO_ASK_COND_CODE_RT
132,"""09:31:27.6434""",2660,TOP,NONE,BID,REPLACE,,,,,,,14.0,1.15000057220459,0.0,"""8730""","""2021-08-12T09:31:27.000+08:00""","""""",
133,"""09:31:27.6514""",2660,TOP,NONE,BID,REPLACE,,,,,,,15.0,1.15000057220459,0.0,"""1836""","""2021-08-12T09:31:27.000+08:00""","""""",
134,"""09:31:27.6514""",2660,TOP,NONE,BID,REPLACE,,,,,,,16.0,1.11999988555908,0.0,"""6729""","""2021-08-12T09:31:27.000+08:00""","""""",
135,"""09:31:27.6514""",2660,TOP,NONE,BID,REPLACE,,,,,,,17.0,1.11000061035156,0.0,"""6425""","""2021-08-12T09:31:27.000+08:00""","""""",
136,"""09:31:42.8517""",2660,MBO,NONE,BID,ADD,29.0,"""36373733353239382020""",,,,,2.0,1.27000045776367,10000.0,,"""2021-08-12T09:31:42.699+08:00""","""""",
137,"""09:31:42.8837""",2660,TOP,NONE,BID,REPLACE,,,,,,,2.0,1.27000045776367,0.0,"""7357""","""2021-08-12T09:31:42.000+08:00""","""""",
138,"""09:31:42.8837""",2660,TOP,NONE,BID,REPLACE,,,,,,,3.0,1.26000022888184,0.0,"""1978""","""2021-08-12T09:31:42.000+08:00""","""""",
139,"""09:31:42.8837""",2660,TOP,NONE,BID,REPLACE,,,,,,,4.0,1.26000022888184,0.0,"""2245""","""2021-08-12T09:31:42.000+08:00""","""""",
140,"""09:31:42.8837""",2660,TOP,NONE,BID,REPLACE,,,,,,,5.0,1.26000022888184,0.0,"""2310""","""2021-08-12T09:31:42.000+08:00""","""""",
141,"""09:31:42.8837""",2660,TOP,NONE,BID,REPLACE,,,,,,,6.0,1.25,0.0,""" 249""","""2021-08-12T09:31:42.000+08:00""","""""",
142,"""09:31:42.8837""",2660,TOP,NONE,BID,REPLACE,,,,,,,7.0,1.23999977111816,0.0,"""6699""","""2021-08-12T09:31:42.000+08:00""","""""",
143,"""09:31:42.8837""",2660,TOP,NONE,BID,REPLACE,,,,,,,8.0,1.23000049591064,0.0,"""6699""","""2021-08-12T09:31:42.000+08:00""","""""",
