,Timestamp,BrokerID,Price,Side,Size,Action,Position,Condition Codes,Broker Name,Trade Type,,
149,7/3/2023 10:26:30.529,8297,0.48,ASK,1000,Trade,1,,Yue Xiu Securities Company Limited,,,
150,7/3/2023 10:29:21.310,8290,0.475,BID,13000,Trade,1,,Yue Xiu Securities Company Limited,,,
151,7/3/2023 10:29:21.310,488,0.47,BID,7000,Trade,1,,Essence International Securities (Hong Kong) Limited,,,
152,7/3/2023 10:29:21.367,8299,0.48,ASK,13000,New Order,9,,Yue Xiu Securities Company Limited,,,
153,7/3/2023 10:30:04.036,4821,0.465,BID,44000,New Order,9,,Valuable Capital Limited,,,
154,7/3/2023 10:32:46.211,8301,0.48,ASK,6000,New Order,10,,Futu Securities International (Hong Kong) Limited,,,
155,7/3/2023 10:35:02.908,2578,0.45,BID,20000,Removed Order,17,,uSmart Securities Limited,,,
156,7/3/2023 10:39:12.039,2992,0.475,BID,1000,New Order,1,,Zhongtai International Securities Limited,,,
157,7/3/2023 10:39:19.393,8297,0.48,ASK,2000,Trade,1,,Yue Xiu Securities Company Limited,,,
158,7/3/2023 10:42:06.668,4821,0.465,BID,44000,Removed Order,10,,Valuable Capital Limited,,,
159,7/3/2023 10:42:06.668,4821,0.475,BID,43000,New Order,2,,Valuable Capital Limited,,,
160,7/3/2023 10:47:31.396,1799,0.48,ASK,300000,New Order,11,,Bright Smart Securities International (H.K.) Limited,,,
161,7/3/2023 10:55:20.537,2992,0.475,BID,1000,Removed Order,1,,Zhongtai International Securities Limited,,,
162,7/3/2023 10:55:26.908,4821,0.475,BID,10000,Trade,1,,Valuable Capital Limited,,,
163,7/3/2023 10:55:30.861,8297,0.48,ASK,2000,Trade,1,,Yue Xiu Securities Company Limited,,,
164,7/3/2023 10:55:36.249,8297,0.48,ASK,2000,Trade,1,,Yue Xiu Securities Company Limited,,,
165,7/3/2023 10:56:12.069,4821,0.475,BID,1000,Trade,1,,Valuable Capital Limited,,,
166,7/3/2023 11:07:52.722,2457,0.49,ASK,30000,Removed Order,17,,Futu Securities International (Hong Kong) Limited,,,
167,7/3/2023 11:07:52.723,2457,0.485,ASK,30000,New Order,16,,Futu Securities International (Hong Kong) Limited,,,
168,7/3/2023 11:07:59.457,2245,0.5,ASK,30000,Removed Order,20,,Futu Securities International (Hong Kong) Limited,,,
