Timestamp,BrokerID,Price,Side,Size,Action,Position,Condition Codes,Broker Name
09:06.8,9057,2.6,ASK,3000,Trade,1,,UBS Securities Hong Kong Limited
09:09.8,5344,2.61,ASK,1000,New Order,5,,J.P. Morgan Broking (Hong Kong) Limited
09:11.0,5344,2.61,ASK,14000,New Order,6,,J.P. Morgan Broking (Hong Kong) Limited
09:11.0,5345,2.61,ASK,19000,New Order,7,,J.P. Morgan Broking (Hong Kong) Limited
09:12.2,5342,2.59,BID,20000,Removed Order,5,,J.P. Morgan Broking (Hong Kong) Limited
09:22.2,5999,2.6,BID,4000,New Order,1,,China Innovation Market Service Company Limited
09:23.8,5344,2.61,ASK,14000,Removed Order,6,,J.P. Morgan Broking (Hong Kong) Limited
09:24.0,2045,2.58,BID,20000,New Order,11,,Barclays Capital Asia Limited
09:24.6,6384,2.59,BID,4000,New Order,6,,Morgan Stanley Hong Kong Securities Limited
09:24.8,5998,2.6,BID,2000,New Order,2,,China Innovation Market Service Company Limited
09:31.8,6387,2.61,ASK,5000,Trade,1,,Morgan Stanley Hong Kong Securities Limited
09:31.8,102,2.61,ASK,3000,Trade,1,,Core Pacific - Yamaichi International (H.K.) Limited
09:31.8,1382,2.61,ASK,10000,Trade,1,,Everbright Securities Investment Services (HK) Limited
09:31.8,6387,2.61,ASK,18000,Trade,1,,Morgan Stanley Hong Kong Securities Limited
09:31.8,5344,2.61,ASK,1000,Trade,1,,J.P. Morgan Broking (Hong Kong) Limited
09:31.8,5345,2.61,ASK,3000,Trade,1,,J.P. Morgan Broking (Hong Kong) Limited
09:31.8,5345,2.61,ASK,2000,Trade,1,,J.P. Morgan Broking (Hong Kong) Limited
09:31.8,5345,2.61,ASK,14000,Removed Order,1,,J.P. Morgan Broking (Hong Kong) Limited
09:31.8,2045,2.6,BID,6000,New Order,3,,Barclays Capital Asia Limited
09:31.8,5345,2.62,ASK,76000,New Order,6,,J.P. Morgan Broking (Hong Kong) Limited
09:31.8,2079,2.67,ASK,8000,New Order,33,,Barclays Capital Asia Limited
