,MKTDEPTH_EVENT_TYPE,MKTDEPTH_EVENT_SUBTYPE,ID_BB_SEC_NUM_SRC,FEED_SOURCE,EID,MD_TABLE_CMD_RT,MD_BOOK_TYPE,MBO_WINDOW_SIZE,MBO_SEQNUM_RT,MD_BOOK_SUBTYPE,MD_PRICE_DISPLAY_FORMAT_TYPE_RT,MD_PRICE_DISPLAY_MIN_NUM_DECIMALS_RT,MD_PRICE_DISPLAY_MAX_NUM_DECIMALS_RT,MD_CURRENCY_RT,MD_QUOTED_CURRENCY_REALTIME,MD_ROUND_LOT_SIZE_RT,cid,MBL_WINDOW_SIZE,MD_MULTI_TICK_UPD_RT,MBL_ASK_POSITION_RT,MBL_ASK_RT,MBL_ASK_COND_CODE_RT,MBL_ASK_NUM_ORDERS_RT,MBL_ASK_SIZE_RT,MBL_TIME_RT,MBL_BID_POSITION_RT,MBL_BID_RT,MBL_BID_COND_CODE_RT,MBL_BID_NUM_ORDERS_RT,MBL_BID_SIZE_RT,MBO_ASK_POSITION_RT,MBO_ASK_RT,MBO_ASK_BROKER_RT,MBO_ASK_COND_CODE_RT,MBO_ASK_SIZE_RT,MBO_TIME_RT,MBO_BID_POSITION_RT,MBO_BID_RT,MBO_BID_BROKER_RT,MBO_BID_COND_CODE_RT,MBO_BID_SIZE_RT,MBO_ORDER_ID_RT,MBO_TABLE_ASK,MBO_TABLE_BID,MBL_TABLE_ASK,MBL_TABLE_BID
2076,MARKET_BY_ORDER,BID,,,14112,REPLACE,,,,,,,,,,,2060 HK Equity.type=TOP,,,,,,,,,,,,,,,,,,,7/3/2023 02:55:20.000,15,0.449999988,2290,,0,,,,,
2077,MARKET_BY_ORDER,BID,,,14112,REPLACE,,,,,,,,,,,2060 HK Equity.type=TOP,,,,,,,,,,,,,,,,,,,7/3/2023 02:55:20.000,16,0.449999988,1836,,0,,,,,
2078,MARKET_BY_ORDER,BID,,,14112,REPLACE,,,,,,,,,,,2060 HK Equity.type=TOP,,,,,,,,,,,,,,,,,,,7/3/2023 02:55:20.000,17,0.444999993,6106,,0,,,,,
2079,MARKET_BY_ORDER,BID,,,14112,REPLACE,,,,,,,,,,,2060 HK Equity.type=TOP,,,,,,,,,,,,,,,,,,,7/3/2023 02:55:20.000,18,0.439999998,6107,,0,,,,,
2080,MARKET_BY_ORDER,BID,,,14112,REPLACE,,,,,,,,,,,2060 HK Equity.type=TOP,,,,,,,,,,,,,,,,,,,7/3/2023 02:55:20.000,19,0.435000002,1836,,0,,,,,
2081,MARKET_BY_ORDER,BID,,,14112,REPLACE,,,,,,,,,,,2060 HK Equity.type=TOP,,,,,,,,,,,,,,,,,,,7/3/2023 02:55:20.000,20,0.430000007,1836,,0,,,,,
2082,MARKET_BY_ORDER,BID,,,14112,REPLACE,,,,,,,,,,,2060 HK Equity.type=TOP,,,,,,,,,,,,,,,,,,,7/3/2023 02:55:20.000,22,0.430000007,2290,,0,,,,,
2083,MARKET_BY_ORDER,BID,,,14112,REPLACE,,,,,,,,,,,2060 HK Equity.type=TOP,,,,,,,,,,,,,,,,,,,7/3/2023 02:55:20.000,23,0.420000017,1836,,0,,,,,
2084,MARKET_BY_ORDER,BID,,,14112,REPLACE_CLEAR,,,,,,,,,,,2060 HK Equity.type=TOP,,,,,,,,,,,,,,,,,,,7/3/2023 02:55:20.000,24,0,,,0,,,,,
2085,MARKET_BY_LEVEL,BID,,,14112,REPLACE,,,,,,,,,,,2060 HK Equity.type=MBL,,0,,,,,,55:26.9,1,0.475000024,,1,33000,,,,,,,,,,,,,,,,
2086,MARKET_BY_ORDER,ASK,,,53714,ADD,,,248,,,,,,,,2060 HK Equity.type=MBO,,,,,,,,,,,,,,1,0.475000024,,,10000,7/3/2023 02:55:26.908,,,,,,948730370,,,,
